gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-10-01,OFF_PEAK,"Passenger Wait Time",98189.840774897,105332.433207458,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-10-01,PEAK,"Passenger Wait Time",99097.444039777,107059.272378300,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-10-01,PEAK,"Passenger Wait Time",72289.422407581,78154.745758978,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-10-01,OFF_PEAK,"Passenger Wait Time",73605.830015513,80260.693310373,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-10-01,PEAK,"Passenger Wait Time",7450.332991748,9175.573588826,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-10-01,OFF_PEAK,"Passenger Wait Time",10350.658858802,12821.165652039,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-10-01,OFF_PEAK,"Passenger Wait Time",12942.238081079,16603.146657292,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-10-01,PEAK,"Passenger Wait Time",10284.885487460,12509.352347058,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-10-01,PEAK,"Passenger Wait Time",12381.184000515,14970.790863624,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-10-01,OFF_PEAK,"Passenger Wait Time",14467.182295426,18050.176349969,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-10-01,PEAK,"Passenger Wait Time",16298.571604543,19708.469376051,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-10-01,OFF_PEAK,"Passenger Wait Time",20329.376056426,24769.400612904,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-10-01,PEAK,"Passenger Wait Time",27629.466679028,28191.999204012,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-10-01,OFF_PEAK,"Passenger Wait Time",32820.850182769,34553.981765044,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",842.000000000,1074.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-10-01,PEAK,"Headway / Schedule Adherence",276.000000000,329.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",530.000000000,640.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-10-01,PEAK,"Headway / Schedule Adherence",250.000000000,301.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-10-01,PEAK,"Headway / Schedule Adherence",319.000000000,481.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",1094.000000000,1335.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-10-01,PEAK,"Headway / Schedule Adherence",573.000000000,848.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",1718.000000000,2235.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",27.000000000,30.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-10-01,PEAK,"Headway / Schedule Adherence",7.000000000,9.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-10-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,23.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,33.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-10-01,PEAK,"Headway / Schedule Adherence",18.000000000,21.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",24.000000000,26.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-10-01,PEAK,"Headway / Schedule Adherence",13.000000000,15.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-10-01,PEAK,"Headway / Schedule Adherence",9.000000000,10.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-10-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
