gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-12-01,OFF_PEAK,"Passenger Wait Time",33862.267126939,45276.489507511,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-12-01,OFF_PEAK,"Passenger Wait Time",64710.364488782,68989.753151892,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-12-01,OFF_PEAK,"Passenger Wait Time",13614.234602361,18071.489450539,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-12-01,OFF_PEAK,"Passenger Wait Time",16129.840479209,21404.877907468,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-12-01,OFF_PEAK,"Passenger Wait Time",3806.540712505,5513.485726007,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-12-01,OFF_PEAK,"Passenger Wait Time",24608.791485443,30424.189411015,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-12-01,OFF_PEAK,"Passenger Wait Time",38677.860881551,40898.437719231,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-12-01,OFF_PEAK,"Headway / Schedule Adherence",935.000000000,1225.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-12-01,OFF_PEAK,"Headway / Schedule Adherence",345.000000000,503.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-12-01,OFF_PEAK,"Headway / Schedule Adherence",909.000000000,1274.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-12-01,OFF_PEAK,"Headway / Schedule Adherence",2140.000000000,2826.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-12-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,32.000000000,.000000000
