gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-02-01,OFF_PEAK,"Passenger Wait Time",94101.064854578,102432.389650159,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-02-01,PEAK,"Passenger Wait Time",68728.432924455,75825.250147022,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-02-01,OFF_PEAK,"Passenger Wait Time",97597.437427478,102609.955684369,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-02-01,PEAK,"Passenger Wait Time",72942.491138668,77492.734392620,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-02-01,OFF_PEAK,"Passenger Wait Time",15373.142998618,19228.863068492,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-02-01,PEAK,"Passenger Wait Time",9632.767900942,12771.738380771,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-02-01,OFF_PEAK,"Passenger Wait Time",20484.959633390,27870.671844836,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-02-01,PEAK,"Passenger Wait Time",10199.388481495,14790.986555281,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-02-01,OFF_PEAK,"Passenger Wait Time",19818.785568429,26512.096315658,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-02-01,PEAK,"Passenger Wait Time",12011.750055816,18011.890159854,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-02-01,OFF_PEAK,"Passenger Wait Time",25671.437588709,34367.762158949,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-02-01,PEAK,"Passenger Wait Time",16788.527176754,23423.794181630,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-02-01,OFF_PEAK,"Passenger Wait Time",34279.963267200,36626.525283730,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-02-01,PEAK,"Passenger Wait Time",19101.986487210,20536.803788182,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-02-01,PEAK,"Headway / Schedule Adherence",226.000000000,256.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-02-01,OFF_PEAK,"Headway / Schedule Adherence",1031.000000000,1122.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-02-01,PEAK,"Headway / Schedule Adherence",225.000000000,265.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-02-01,OFF_PEAK,"Headway / Schedule Adherence",367.000000000,468.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-02-01,OFF_PEAK,"Headway / Schedule Adherence",1014.000000000,1351.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-02-01,PEAK,"Headway / Schedule Adherence",391.000000000,488.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-02-01,OFF_PEAK,"Headway / Schedule Adherence",1777.000000000,2337.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-02-01,PEAK,"Headway / Schedule Adherence",722.000000000,854.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-02-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-02-01,OFF_PEAK,"Headway / Schedule Adherence",27.000000000,28.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-02-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,24.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-02-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-02-01,PEAK,"Headway / Schedule Adherence",21.000000000,21.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-02-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,34.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-02-01,PEAK,"Headway / Schedule Adherence",13.000000000,15.000000000,.000000000
