gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-01-01,PEAK,"Passenger Wait Time",75245.937081692,85867.815537654,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-01-01,OFF_PEAK,"Passenger Wait Time",108766.801117520,125102.711085373,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-01-01,OFF_PEAK,"Passenger Wait Time",77596.255263337,81183.946783065,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-01-01,PEAK,"Passenger Wait Time",54169.889984707,56211.633588016,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-01-01,PEAK,"Passenger Wait Time",400.828700000,582.802300000,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-01-01,OFF_PEAK,"Passenger Wait Time",1324.360700000,1925.440300000,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-01-01,OFF_PEAK,"Passenger Wait Time",900.488300000,1182.915600000,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-01-01,PEAK,"Passenger Wait Time",282.654100000,374.013800000,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-01-01,PEAK,"Passenger Wait Time",331.158600000,409.517800000,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-01-01,OFF_PEAK,"Passenger Wait Time",962.182200000,1233.393400000,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-01-01,PEAK,"Passenger Wait Time",171.297400000,222.085500000,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-01-01,OFF_PEAK,"Passenger Wait Time",505.064300000,650.813000000,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-01-01,OFF_PEAK,"Passenger Wait Time",14035.726743611,15121.273393816,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-01-01,PEAK,"Passenger Wait Time",8605.456573675,9237.039452220,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-01-01,OFF_PEAK,"Headway / Schedule Adherence",771.000000000,969.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-01-01,OFF_PEAK,"Headway / Schedule Adherence",494.000000000,605.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-01-01,OFF_PEAK,"Headway / Schedule Adherence",1522.000000000,1610.000000000,
