gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-04-01,PEAK,"Passenger Wait Time",55987.779325136,64040.666001756,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-04-01,OFF_PEAK,"Passenger Wait Time",71599.416441884,80501.461465960,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-04-01,OFF_PEAK,"Passenger Wait Time",53607.693689120,58008.141229236,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-04-01,PEAK,"Passenger Wait Time",41627.776872165,43498.729901227,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-04-01,PEAK,"Passenger Wait Time",4452.146991155,5686.047200729,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-04-01,OFF_PEAK,"Passenger Wait Time",9630.034872305,12419.573522831,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-04-01,OFF_PEAK,"Passenger Wait Time",9200.442685954,12765.812925500,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-04-01,PEAK,"Passenger Wait Time",4598.028992284,6736.104243089,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-04-01,PEAK,"Passenger Wait Time",5293.302592272,7495.128016077,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-04-01,OFF_PEAK,"Passenger Wait Time",9095.648024195,12746.942528947,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-04-01,OFF_PEAK,"Passenger Wait Time",9894.382545164,14159.823290745,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-04-01,PEAK,"Passenger Wait Time",4940.014548347,7794.261520655,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-04-01,PEAK,"Passenger Wait Time",9630.732013394,10938.978444342,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-04-01,OFF_PEAK,"Passenger Wait Time",16476.232419214,18978.629702702,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-04-01,PEAK,"Headway / Schedule Adherence",177.000000000,218.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",745.000000000,842.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-04-01,PEAK,"Headway / Schedule Adherence",352.000000000,382.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",560.000000000,633.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",917.000000000,1214.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-04-01,PEAK,"Headway / Schedule Adherence",362.000000000,511.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",1528.000000000,2135.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-04-01,PEAK,"Headway / Schedule Adherence",658.000000000,925.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",27.000000000,31.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",7.000000000,9.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",12.000000000,13.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,23.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",15.000000000,17.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",25.000000000,31.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,23.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",34.000000000,34.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",36.000000000,37.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",7.000000000,8.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,22.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-04-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-04-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,23.000000000,.000000000
