gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-09-01,OFF_PEAK,"Passenger Wait Time",95738.766354744,101968.286427956,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-09-01,PEAK,"Passenger Wait Time",80252.352865510,85621.276992442,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-09-01,PEAK,"Passenger Wait Time",56139.337950546,59433.532799002,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-09-01,OFF_PEAK,"Passenger Wait Time",73842.615322511,77580.168682273,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-09-01,PEAK,"Passenger Wait Time",6678.029340877,8297.850845560,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-09-01,OFF_PEAK,"Passenger Wait Time",12005.791794789,15332.994382499,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-09-01,OFF_PEAK,"Passenger Wait Time",14551.974908227,19370.955120919,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-09-01,PEAK,"Passenger Wait Time",8806.100068165,12177.725541703,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-09-01,PEAK,"Passenger Wait Time",8491.660460643,10774.644083591,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-09-01,OFF_PEAK,"Passenger Wait Time",13606.676147456,17578.612482052,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-09-01,PEAK,"Passenger Wait Time",10674.354174651,14525.913263103,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-09-01,OFF_PEAK,"Passenger Wait Time",16988.672262646,22027.317190026,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-09-01,OFF_PEAK,"Passenger Wait Time",24144.376288856,25209.812231467,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-09-01,PEAK,"Passenger Wait Time",16679.587413211,17089.932465110,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",560.000000000,638.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",160.000000000,204.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",648.000000000,740.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",377.000000000,413.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",407.000000000,615.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",860.000000000,1210.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",779.000000000,983.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",1543.000000000,2053.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",29.000000000,29.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,24.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",10.000000000,14.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,33.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",16.000000000,21.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,25.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,28.000000000,1.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,1.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",35.000000000,36.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",17.000000000,17.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,22.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",19.000000000,20.000000000,1.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,24.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",13.000000000,13.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",8.000000000,10.000000000,1.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-09-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",29.000000000,30.000000000,.000000000
701,CT1,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",200.000000000,419.000000000,
701,CT1,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",108.000000000,285.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",91.000000000,291.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",112.000000000,447.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",105.000000000,208.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",63.000000000,148.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",299.000000000,454.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",905.000000000,1296.000000000,
4,4,,"Limited Service","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",24.000000000,35.000000000,
4,4,,"Limited Service","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",87.000000000,156.000000000,
5,5,,"Limited Service","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",36.000000000,49.000000000,
5,5,,"Limited Service","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",.000000000,1.000000000,
7,7,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",246.000000000,344.000000000,
7,7,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",288.000000000,364.000000000,
8,8,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",222.000000000,542.000000000,
8,8,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",113.000000000,270.000000000,
9,9,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",258.000000000,350.000000000,
9,9,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",357.000000000,578.000000000,
10,10,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",195.000000000,448.000000000,
10,10,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",84.000000000,171.000000000,
11,11,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",219.000000000,338.000000000,
11,11,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",214.000000000,539.000000000,
14,14,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",121.000000000,217.000000000,
14,14,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",60.000000000,127.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",191.000000000,286.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",482.000000000,729.000000000,
16,16,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",321.000000000,465.000000000,
16,16,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",157.000000000,234.000000000,
17,17,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",114.000000000,163.000000000,
17,17,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",168.000000000,276.000000000,
18,18,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",34.000000000,69.000000000,
18,18,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",19.000000000,63.000000000,
19,19,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",152.000000000,334.000000000,
19,19,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",118.000000000,309.000000000,
21,21,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",312.000000000,480.000000000,
21,21,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",155.000000000,248.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",311.000000000,464.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",673.000000000,983.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",1017.000000000,1506.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",445.000000000,645.000000000,
24,24,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",51.000000000,85.000000000,
24,24,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",165.000000000,218.000000000,
26,26,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",54.000000000,112.000000000,
26,26,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",121.000000000,229.000000000,
27,27,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",110.000000000,185.000000000,
27,27,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",24.000000000,78.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",407.000000000,561.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",1092.000000000,1572.000000000,
29,29,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",160.000000000,352.000000000,
29,29,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",116.000000000,256.000000000,
30,30,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",49.000000000,123.000000000,
30,30,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",150.000000000,259.000000000,
31,31,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",586.000000000,810.000000000,
31,31,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",251.000000000,366.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",602.000000000,724.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",926.000000000,1168.000000000,
33,33,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",103.000000000,134.000000000,
33,33,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",47.000000000,72.000000000,
34,34,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",230.000000000,353.000000000,
34,34,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",376.000000000,605.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2016-09-01,OFF_PEAK,"Headway / Schedule Adherence",354.000000000,715.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",161.000000000,349.000000000,
35,35,,"Local Bus","Other Bus",Bus,2016-09-01,PEAK,"Headway / Schedule Adherence",88.000000000,172.000000000,
