gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-05-01,PEAK,"Passenger Wait Time",75010.968350725,82233.013690487,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-05-01,OFF_PEAK,"Passenger Wait Time",98116.801346407,105853.623496410,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-05-01,PEAK,"Passenger Wait Time",75078.601254700,80429.576657793,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-05-01,OFF_PEAK,"Passenger Wait Time",99772.957784795,104964.406624512,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-05-01,OFF_PEAK,"Passenger Wait Time",20473.516217690,24966.603454418,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-05-01,PEAK,"Passenger Wait Time",10860.699592024,14042.612533868,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-05-01,OFF_PEAK,"Passenger Wait Time",21908.536036909,27374.168641649,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-05-01,PEAK,"Passenger Wait Time",15142.562283974,18881.477043043,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-05-01,PEAK,"Passenger Wait Time",18890.610463200,22655.606030321,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-05-01,OFF_PEAK,"Passenger Wait Time",28116.020359583,34210.051373395,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-05-01,PEAK,"Passenger Wait Time",18249.185559306,23427.993433958,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-05-01,OFF_PEAK,"Passenger Wait Time",27568.580833578,35992.543028166,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-05-01,PEAK,"Passenger Wait Time",20048.578596764,20650.782967802,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-05-01,OFF_PEAK,"Passenger Wait Time",34785.906443834,36751.819492257,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-05-01,PEAK,"Headway / Schedule Adherence",163.000000000,209.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",689.000000000,815.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",425.000000000,514.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-05-01,PEAK,"Headway / Schedule Adherence",257.000000000,303.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",1054.000000000,1345.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-05-01,PEAK,"Headway / Schedule Adherence",397.000000000,497.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-05-01,PEAK,"Headway / Schedule Adherence",641.000000000,860.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",1736.000000000,2306.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",28.000000000,28.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,24.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",16.000000000,21.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",28.000000000,34.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",14.000000000,15.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,26.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",11.000000000,16.000000000,3.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,28.000000000,3.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,15.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2018-05-01,PEAK,"Headway / Schedule Adherence",11.000000000,15.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2018-05-01,OFF_PEAK,"Headway / Schedule Adherence",34.000000000,35.000000000,.000000000
