gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,6/1/2018,PEAK,Passenger Wait Time,67612.49173,73003.66799,
Red,,Red Line,Rapid Transit,Red Line,Rail,6/1/2018,OFF_PEAK,Passenger Wait Time,92749.32308,103125.1975,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,6/1/2018,PEAK,Passenger Wait Time,80688.6573,82888.40601,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,6/1/2018,OFF_PEAK,Passenger Wait Time,100283.8482,104557.3242,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,6/1/2018,PEAK,Passenger Wait Time,9202.188628,11313.64726,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,6/1/2018,OFF_PEAK,Passenger Wait Time,16543.8584,20744.57383,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,6/1/2018,PEAK,Passenger Wait Time,13596.64253,17623.20805,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,6/1/2018,OFF_PEAK,Passenger Wait Time,22835.54365,28931.54249,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,6/1/2018,OFF_PEAK,Passenger Wait Time,22590.11946,29359.21563,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,6/1/2018,PEAK,Passenger Wait Time,15112.21681,18852.31196,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,6/1/2018,OFF_PEAK,Passenger Wait Time,28967.48761,36900.45414,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,6/1/2018,PEAK,Passenger Wait Time,18427.38981,24622.10625,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,6/1/2018,OFF_PEAK,Passenger Wait Time,34542.75663,35930.59509,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,6/1/2018,PEAK,Passenger Wait Time,20074.32062,20458.17691,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,15,15,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,6/1/2018,PEAK,Headway / Schedule Adherence,1,1,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,59,72,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,6/1/2018,PEAK,Headway / Schedule Adherence,29,32,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,28,28,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,9,9,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,13,14,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,17,24,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,29,34,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,21,21,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,26,26,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,15,15,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,10,10,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,15,16,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,28,28,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,15,15,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,9,9,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,30,35,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,13,15,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,9,10,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,6/1/2018,OFF_PEAK,Headway / Schedule Adherence,21,22,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,10,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,6/1/2018,PEAK,Headway / Schedule Adherence,10,10,0
