STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00014739,"BOSTON, MA US",2018-03-31,14.32,0,0,47
USW00014739,"BOSTON, MA US",2018-04-01,17.9,0,0,48
USW00014739,"BOSTON, MA US",2018-04-02,5.82,0.11,0.7,37
USW00014739,"BOSTON, MA US",2018-04-03,10.07,0.47,0,38
USW00014739,"BOSTON, MA US",2018-04-04,12.97,0.2,0,44
USW00014739,"BOSTON, MA US",2018-04-05,21.7,0,0,38
USW00014739,"BOSTON, MA US",2018-04-06,10.96,0.21,0.6,34
USW00014739,"BOSTON, MA US",2018-04-07,12.08,0.01,0,41
USW00014739,"BOSTON, MA US",2018-04-08,13.42,0,0,37
USW00014739,"BOSTON, MA US",2018-04-09,11.63,0,0,37
USW00014739,"BOSTON, MA US",2018-04-10,3.58,0,0,38
USW00014739,"BOSTON, MA US",2018-04-11,10.96,0,0,37
USW00014739,"BOSTON, MA US",2018-04-12,11.63,0.06,0,43
USW00014739,"BOSTON, MA US",2018-04-13,9.4,0,0,55
USW00014739,"BOSTON, MA US",2018-04-14,13.2,0,0,47
USW00014739,"BOSTON, MA US",2018-04-15,22.37,0.04,0,36
USW00014739,"BOSTON, MA US",2018-04-16,19.69,1.57,0,40
USW00014739,"BOSTON, MA US",2018-04-17,15.43,0,0,47
USW00014739,"BOSTON, MA US",2018-04-18,14.54,0,0,44
USW00014739,"BOSTON, MA US",2018-04-19,8.28,0.23,0,42
USW00014739,"BOSTON, MA US",2018-04-20,16.11,0,0,44
USW00014739,"BOSTON, MA US",2018-04-21,11.41,0,0,47
USW00014739,"BOSTON, MA US",2018-04-22,8.95,0,0,51
USW00014739,"BOSTON, MA US",2018-04-23,10.51,0,0,50
USW00014739,"BOSTON, MA US",2018-04-24,12.3,0,0,54
USW00014739,"BOSTON, MA US",2018-04-25,9.17,0.72,0,50
USW00014739,"BOSTON, MA US",2018-04-26,11.63,0.21,0,57
USW00014739,"BOSTON, MA US",2018-04-27,7.61,0.54,0,52
USW00014739,"BOSTON, MA US",2018-04-28,7.83,0,0,53
USW00014739,"BOSTON, MA US",2018-04-29,10.29,0.05,0,55
USW00014739,"BOSTON, MA US",2018-04-30,6.71,0.2,0,45
USW00014739,"BOSTON, MA US",2018-05-01,8.05,0,0,51
USW00014739,"BOSTON, MA US",2018-05-02,13.65,0,0,71
USW00014739,"BOSTON, MA US",2018-05-03,9.62,0.09,0,74
USW00014739,"BOSTON, MA US",2018-05-04,12.08,0,0,69
USW00014739,"BOSTON, MA US",2018-05-05,14.54,0,0,69
USW00014739,"BOSTON, MA US",2018-05-06,7.38,0.19,0,62
USW00014739,"BOSTON, MA US",2018-05-07,8.95,0,0,53
USW00014739,"BOSTON, MA US",2018-05-08,8.05,0,0,50
USW00014739,"BOSTON, MA US",2018-05-09,8.95,0,0,55
USW00014739,"BOSTON, MA US",2018-05-10,9.84,0,0,52
USW00014739,"BOSTON, MA US",2018-05-11,9.62,0,0,63
USW00014739,"BOSTON, MA US",2018-05-12,7.61,0.21,0,51
USW00014739,"BOSTON, MA US",2018-05-13,8.72,0,0,50
USW00014739,"BOSTON, MA US",2018-05-14,8.72,0,0,56
USW00014739,"BOSTON, MA US",2018-05-15,10.51,1,0,66
USW00014739,"BOSTON, MA US",2018-05-16,9.4,0,0,56
USW00014739,"BOSTON, MA US",2018-05-17,5.14,0,0,58
USW00014739,"BOSTON, MA US",2018-05-18,14.32,0,0,58
USW00014739,"BOSTON, MA US",2018-05-19,8.05,0.2,0,50
USW00014739,"BOSTON, MA US",2018-05-20,11.63,0.08,0,65
USW00014739,"BOSTON, MA US",2018-05-21,8.5,0,0,67
USW00014739,"BOSTON, MA US",2018-05-22,6.71,0.03,0,62
USW00014739,"BOSTON, MA US",2018-05-23,9.62,0.02,0,63
USW00014739,"BOSTON, MA US",2018-05-24,11.86,0,0,61
USW00014739,"BOSTON, MA US",2018-05-25,14.99,0,0,70
USW00014739,"BOSTON, MA US",2018-05-26,11.63,0,0,78
USW00014739,"BOSTON, MA US",2018-05-27,16.11,0.02,0,57
USW00014739,"BOSTON, MA US",2018-05-28,7.83,0.06,0,52
USW00014739,"BOSTON, MA US",2018-05-29,9.4,0,0,67
USW00014739,"BOSTON, MA US",2018-05-30,8.5,0,0,65
USW00014739,"BOSTON, MA US",2018-05-31,10.07,0,0,66
USW00014739,"BOSTON, MA US",2018-06-01,8.05,0.01,0,70
USW00014739,"BOSTON, MA US",2018-06-02,8.5,0.01,0,73
