STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00014739,"BOSTON, MA US",5/18/18,14.32,0,0,58
USW00014739,"BOSTON, MA US",5/19/18,8.05,0.2,0,50
USW00014739,"BOSTON, MA US",5/20/18,11.63,0.08,0,65
USW00014739,"BOSTON, MA US",5/21/18,8.5,0,0,67
USW00014739,"BOSTON, MA US",5/22/18,6.71,0.03,0,62
USW00014739,"BOSTON, MA US",5/23/18,9.62,0.02,0,63
USW00014739,"BOSTON, MA US",5/24/18,11.86,0,0,61
USW00014739,"BOSTON, MA US",5/25/18,14.99,0,0,70
USW00014739,"BOSTON, MA US",5/26/18,11.63,0,0,78
USW00014739,"BOSTON, MA US",5/27/18,16.11,0.02,0,57
USW00014739,"BOSTON, MA US",5/28/18,7.83,0.06,0,52
USW00014739,"BOSTON, MA US",5/29/18,9.4,0,0,67
USW00014739,"BOSTON, MA US",5/30/18,8.5,0,0,65
USW00014739,"BOSTON, MA US",5/31/18,10.07,0,0,66
USW00014739,"BOSTON, MA US",6/1/18,8.05,0.01,0,70
USW00014739,"BOSTON, MA US",6/2/18,8.5,0.01,0,73
USW00014739,"BOSTON, MA US",6/3/18,13.2,0,0,58
USW00014739,"BOSTON, MA US",6/4/18,14.54,0.62,0,52
USW00014739,"BOSTON, MA US",6/5/18,7.38,0.34,0,53
USW00014739,"BOSTON, MA US",6/6/18,9.4,0,0,56
USW00014739,"BOSTON, MA US",6/7/18,11.41,0,0,61
USW00014739,"BOSTON, MA US",6/8/18,6.71,0,0,65
USW00014739,"BOSTON, MA US",6/9/18,7.83,0,0,72
USW00014739,"BOSTON, MA US",6/10/18,10.07,0,0,68
USW00014739,"BOSTON, MA US",6/11/18,10.51,0,0,62
USW00014739,"BOSTON, MA US",6/12/18,17.9,0,0,65
USW00014739,"BOSTON, MA US",6/13/18,15.88,0,0,67
USW00014739,"BOSTON, MA US",6/14/18,14.76,0,0,73
USW00014739,"BOSTON, MA US",6/15/18,8.05,0,0,59
USW00014739,"BOSTON, MA US",6/16/18,7.61,0,0,70
USW00014739,"BOSTON, MA US",6/17/18,7.61,0,0,69
USW00014739,"BOSTON, MA US",6/18/18,16.33,0.13,0,75
USW00014739,"BOSTON, MA US",6/19/18,12.75,0.01,0,77
USW00014739,"BOSTON, MA US",6/20/18,8.05,0,0,73
USW00014739,"BOSTON, MA US",6/21/18,7.61,0,0,73
USW00014739,"BOSTON, MA US",6/22/18,10.29,0,0,66
USW00014739,"BOSTON, MA US",6/23/18,9.4,0,0,63
USW00014739,"BOSTON, MA US",6/24/18,5.82,0.26,0,65
USW00014739,"BOSTON, MA US",6/25/18,9.17,0.33,0,68
USW00014739,"BOSTON, MA US",6/26/18,12.3,0,0,67
USW00014739,"BOSTON, MA US",6/27/18,12.75,0.09,0,71
USW00014739,"BOSTON, MA US",6/28/18,8.28,1.16,0,71
USW00014739,"BOSTON, MA US",6/29/18,7.83,0,0,78
USW00014739,"BOSTON, MA US",6/30/18,7.61,0,0,81
USW00014739,"BOSTON, MA US",7/1/18,8.05,0,0,82
USW00014739,"BOSTON, MA US",7/2/18,8.5,0,0,73
USW00014739,"BOSTON, MA US",7/3/18,9.4,0.01,0,84
USW00014739,"BOSTON, MA US",7/4/18,6.26,0,0,84
USW00014739,"BOSTON, MA US",7/5/18,11.63,0,0,84
USW00014739,"BOSTON, MA US",7/6/18,16.55,0.35,0,81
USW00014739,"BOSTON, MA US",7/7/18,9.84,0,0,70
USW00014739,"BOSTON, MA US",7/8/18,9.17,0,0,71
USW00014739,"BOSTON, MA US",7/9/18,11.41,0,0,77
USW00014739,"BOSTON, MA US",7/10/18,9.62,0,0,81
USW00014739,"BOSTON, MA US",7/11/18,10.96,0.19,0,74
USW00014739,"BOSTON, MA US",7/12/18,9.4,0,0,70
USW00014739,"BOSTON, MA US",7/13/18,11.63,0,0,70
USW00014739,"BOSTON, MA US",7/14/18,8.72,0.31,0,69
USW00014739,"BOSTON, MA US",7/15/18,6.49,0.01,0,72
USW00014739,"BOSTON, MA US",7/16/18,6.71,0,0,70
USW00014739,"BOSTON, MA US",7/17/18,11.41,2.68,0,77
USW00014739,"BOSTON, MA US",7/18/18,10.29,0.06,0,76
USW00014739,"BOSTON, MA US",7/19/18,9.62,0,0,72
USW00014739,"BOSTON, MA US",7/20/18,9.62,0,0,72
USW00014739,"BOSTON, MA US",7/21/18,8.72,0,0,69
USW00014739,"BOSTON, MA US",7/22/18,10.74,0.17,0,71
USW00014739,"BOSTON, MA US",7/23/18,12.53,0.03,0,78
USW00014739,"BOSTON, MA US",7/24/18,10.51,0,0,80
USW00014739,"BOSTON, MA US",7/25/18,12.97,0.14,0,79
USW00014739,"BOSTON, MA US",7/26/18,12.08,0.6,0,78
USW00014739,"BOSTON, MA US",7/27/18,8.5,0,0,79
USW00014739,"BOSTON, MA US",7/28/18,9.4,0,0,79
USW00014739,"BOSTON, MA US",7/29/18,8.72,0,0,79
USW00014739,"BOSTON, MA US",7/30/18,8.5,0,0,76
USW00014739,"BOSTON, MA US",7/31/18,8.05,0,0,75
USW00014739,"BOSTON, MA US",8/1/18,9.84,0,0,75
USW00014739,"BOSTON, MA US",8/2/18,13.2,0,0,84
USW00014739,"BOSTON, MA US",8/3/18,10.51,0.06,0,83
USW00014739,"BOSTON, MA US",8/4/18,9.17,0.64,0,78
USW00014739,"BOSTON, MA US",8/5/18,6.26,0,0,78
USW00014739,"BOSTON, MA US",8/6/18,8.05,0,0,84
USW00014739,"BOSTON, MA US",8/7/18,11.63,0,0,86
USW00014739,"BOSTON, MA US",8/8/18,6.93,0.98,0,80
USW00014739,"BOSTON, MA US",8/9/18,9.17,0.06,0,80
USW00014739,"BOSTON, MA US",8/10/18,7.16,0,0,79
USW00014739,"BOSTON, MA US",8/11/18,7.16,0.39,0,71
USW00014739,"BOSTON, MA US",8/12/18,8.5,1.38,0,70
USW00014739,"BOSTON, MA US",8/13/18,9.62,0.29,0,70
USW00014739,"BOSTON, MA US",8/14/18,6.04,0.01,0,72
USW00014739,"BOSTON, MA US",8/15/18,6.49,0,0,77
USW00014739,"BOSTON, MA US",8/16/18,9.17,0,0,84
USW00014739,"BOSTON, MA US",8/17/18,8.05,0.2,0,75
USW00014739,"BOSTON, MA US",8/18/18,11.63,0.13,0,78
USW00014739,"BOSTON, MA US",8/19/18,15.21,0.01,0,70
USW00014739,"BOSTON, MA US",8/20/18,11.18,0,0,70
USW00014739,"BOSTON, MA US",8/21/18,8.72,0,0,68
USW00014739,"BOSTON, MA US",8/22/18,8.95,0.5,0,72
USW00014739,"BOSTON, MA US",8/23/18,10.51,0,0,73
USW00014739,"BOSTON, MA US",8/24/18,7.83,0,0,73
USW00014739,"BOSTON, MA US",8/25/18,8.95,0,0,74
USW00014739,"BOSTON, MA US",8/26/18,9.84,0,0,73
USW00014739,"BOSTON, MA US",8/27/18,9.17,0,0,80
